(ep: 6, it: 48000, t: 0.002[s], ept: 0.03/0.11[h]) loss_total: 0.611, acc_r: 0.750
(ep: 6, it: 53000, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.592, acc_r: 0.760
(ep: 6, it: 58000, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.588, acc_r: 0.760
(ep: 6, it: 63000, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.515, acc_r: 0.770
(ep: 6, it: 68000, t: 0.002[s], ept: 0.05/0.11[h]) loss_total: 0.508, acc_r: 0.750
(ep: 6, it: 73000, t: 0.002[s], ept: 0.05/0.11[h]) loss_total: 0.563, acc_r: 0.700
(ep: 6, it: 78000, t: 0.001[s], ept: 0.06/0.11[h]) loss_total: 0.507, acc_r: 0.740
(ep: 6, it: 83000, t: 0.002[s], ept: 0.06/0.11[h]) loss_total: 0.534, acc_r: 0.730
(ep: 6, it: 88000, t: 0.002[s], ept: 0.06/0.11[h]) loss_total: 0.547, acc_r: 0.750
(ep: 6, it: 93000, t: 0.001[s], ept: 0.07/0.11[h]) loss_total: 0.601, acc_r: 0.750
(ep: 6, it: 98000, t: 0.002[s], ept: 0.07/0.11[h]) loss_total: 0.554, acc_r: 0.700
(ep: 6, it: 103000, t: 0.002[s], ept: 0.07/0.11[h]) loss_total: 0.539, acc_r: 0.670
(ep: 6, it: 108000, t: 0.001[s], ept: 0.08/0.11[h]) loss_total: 0.564, acc_r: 0.670
(ep: 6, it: 113000, t: 0.002[s], ept: 0.08/0.11[h]) loss_total: 0.553, acc_r: 0.740
(ep: 6, it: 118000, t: 0.001[s], ept: 0.08/0.11[h]) loss_total: 0.367, acc_r: 0.900
(ep: 6, it: 123000, t: 0.002[s], ept: 0.09/0.11[h]) loss_total: 0.506, acc_r: 0.750
(ep: 6, it: 128000, t: 0.002[s], ept: 0.09/0.11[h]) loss_total: 0.622, acc_r: 0.650
(ep: 6, it: 133000, t: 0.001[s], ept: 0.09/0.11[h]) loss_total: 0.549, acc_r: 0.720
(ep: 6, it: 138000, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.466, acc_r: 0.790
(ep: 6, it: 143000, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.481, acc_r: 0.740
(ep: 6, it: 148000, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.509, acc_r: 0.780
(ep: 7, it: 1600, t: 0.002[s], ept: 0.00/0.13[h]) loss_total: 0.589, acc_r: 0.630
(ep: 7, it: 6600, t: 0.002[s], ept: 0.00/0.11[h]) loss_total: 0.563, acc_r: 0.690
(ep: 7, it: 11600, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.499, acc_r: 0.770
(ep: 7, it: 16600, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.459, acc_r: 0.760
(ep: 7, it: 21600, t: 0.002[s], ept: 0.02/0.11[h]) loss_total: 0.585, acc_r: 0.700
(ep: 7, it: 26600, t: 0.002[s], ept: 0.02/0.11[h]) loss_total: 0.666, acc_r: 0.580
(ep: 7, it: 31600, t: 0.001[s], ept: 0.02/0.11[h]) loss_total: 0.472, acc_r: 0.800
(ep: 7, it: 36600, t: 0.001[s], ept: 0.03/0.11[h]) loss_total: 0.546, acc_r: 0.730
(ep: 7, it: 41600, t: 0.002[s], ept: 0.03/0.11[h]) loss_total: 0.465, acc_r: 0.780
